SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0006_141.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,135,166,189,0.08,0.1,0.11
0006_141.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,105,124,140,0.06,0.07,0.07
0006_141.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,181,200,228,0.09,0.1,0.11
0006_146.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,136,167,189,0.09,0.11,0.13
0006_146.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,105,123,141,0.06,0.07,0.08
0006_146.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,181,200,227,0.09,0.1,0.11
0006_149.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,298,362,412,0.23,0.28,0.32
0006_149.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,175,198,226,0.1,0.11,0.13
0006_149.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,504,543,618,0.32,0.34,0.39
0006_150.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,301,366,416,0.23,0.28,0.32
0006_150.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,183,207,236,0.1,0.11,0.13
0006_150.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,506,544,619,0.31,0.34,0.38
0006_152.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1966,300,364,414,0.24,0.29,0.33
0006_152.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1966,193,220,250,0.11,0.13,0.14
0006_152.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1966,494,532,605,0.33,0.36,0.41
0006_152.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2022,431,525,597,0.3,0.37,0.42
0006_152.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2022,314,358,406,0.17,0.19,0.22
0006_152.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2022,683,736,837,0.42,0.45,0.52
0006_155.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,493,594,676,0.34,0.42,0.47
0006_155.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,358,413,469,0.19,0.22,0.25
0006_155.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,779,893,1014,0.48,0.55,0.62
0006_155.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,596,719,817,0.42,0.51,0.58
0006_155.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,433,498,567,0.23,0.27,0.3
0006_155.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,824,945,1074,0.49,0.56,0.64
0006_157.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,676,817,928,0.43,0.52,0.59
0006_157.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,553,636,723,0.29,0.33,0.38
0006_157.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,962,1103,1253,0.53,0.61,0.69
0006_157.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,755,911,1036,0.47,0.57,0.64
0006_157.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,630,726,825,0.33,0.38,0.43
0006_157.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,1063,1219,1385,0.58,0.66,0.75
0006_158.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1996,969,1171,1330,0.51,0.62,0.7
0006_158.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1996,833,959,1090,0.42,0.49,0.55
0006_158.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1996,1298,1487,1690,0.69,0.79,0.89
0006_158.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1920,1214,1456,1582,0.65,0.78,0.85
0006_158.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1920,1052,1213,1318,0.55,0.64,0.69
0006_158.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1920,1639,1823,1900,0.85,0.95,1.0
0006_159.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,1343,1611,1751,0.38,0.45,0.49
0006_159.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1181,1362,1480,0.32,0.37,0.4
0006_159.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,1831,2036,2214,0.5,0.55,0.6
0006_159.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,1298,1556,1692,0.4,0.47,0.52
0006_159.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1201,1384,1505,0.33,0.38,0.41
0006_159.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,1804,2008,2182,0.5,0.55,0.6
0006_159.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,1713,2056,2234,0.46,0.56,0.6
0006_159.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1510,1740,1891,0.41,0.47,0.52
0006_159.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,2197,2444,2658,0.62,0.69,0.75
0006_160.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,2306,2766,3007,0.65,0.77,0.84
0006_160.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,2038,2349,2553,0.55,0.63,0.69
0006_160.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,2954,3286,3514,0.83,0.92,0.97
0006_173.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1838,3911,4727,4940,0.89,1.08,1.1
0006_173.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1838,3484,4090,4445,0.67,0.79,0.86
0006_173.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1838,4782,5186,5401,0.91,0.98,1.01
0006_173.7,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1838,3046,3681,3917,0.74,0.89,0.94
0006_173.7,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1838,2778,3261,3544,0.53,0.62,0.68
0006_173.7,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1838,3876,4203,4568,0.78,0.85,0.92
0006_174.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1896,2615,3161,3298,0.91,1.1,1.12
0006_174.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1896,2497,2930,3186,0.69,0.81,0.88
0006_174.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1896,3327,3608,3734,0.97,1.05,1.07
0006_174.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1896,2644,3170,3308,0.92,1.1,1.12
0006_174.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1896,2524,2910,3163,0.7,0.8,0.87
0006_174.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1896,3362,3740,3870,0.98,1.09,1.11
0006_174.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2391,2868,3056,0.73,0.88,0.93
0006_174.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2148,2476,2691,0.55,0.63,0.69
0006_174.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3144,3498,3736,0.84,0.94,0.99
0006_175.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2040,2448,2660,0.61,0.73,0.79
0006_175.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,1840,2121,2305,0.47,0.54,0.59
